Name,Sex,NOC,Year,Season,City,Sport,Event,Medal
Rodica Maria Florea-erban,F,ROU,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold
Rodica Maria Florea-erban,F,ROU,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Bronze
David Florence,M,GBR,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
David Florence,M,GBR,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
David Florence,M,GBR,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
Guillaume Florent,M,FRA,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Bronze
Esquiva Falco Florentino,M,BRA,2012,Summer,London,Boxing,Boxing Men's Middleweight,Silver
Teodor Florian,M,ROU,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Bronze
Ronald Florijn,M,NED,1988,Summer,Seoul,Rowing,Rowing Men's Double Sculls,Gold
Ronald Florijn,M,NED,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Gold
Marianne Florman Christensen,F,DEN,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold
Andr Florschtz,M,GER,2006,Winter,Torino,Luge,Luge Mixed (Men)'s Doubles,Silver
Thomas Florschtz,M,GER,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
Vala R. Flosadttir,F,ISL,2000,Summer,Sydney,Athletics,Athletics Women's Pole Vault,Bronze
Horst Floth,M,FRG,1968,Winter,Grenoble,Bobsleigh,Bobsleigh Men's Two,Silver
Horst Floth,M,FRG,1972,Winter,Sapporo,Bobsleigh,Bobsleigh Men's Two,Silver
Tairia Flowers,F,USA,2004,Summer,Athina,Softball,Softball Women's Softball,Gold
Tairia Flowers,F,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
Vonetta Lashaw Flowers (Jeffery-),F,USA,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Women's Two,Gold
Georg Fluckinger,M,AUT,1980,Winter,Lake Placid,Luge,Luge Mixed (Men)'s Doubles,Bronze
Sbastien Flte,M,FRA,1992,Summer,Barcelona,Archery,Archery Men's Individual,Gold
"Edward Loring ""Eddie"" Flynn",M,USA,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Gold
James Hummitzsch Flynn,M,USA,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze
"Patrick J. ""Pat"" Flynn",M,USA,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
James Christian Foad,M,GBR,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Bronze
Bror Karl Fock,M,SWE,1912,Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Silver
Bror Karl Fock,M,SWE,1912,Summer,Stockholm,Athletics,"Athletics Men's Cross-Country, Team",Gold
Rajmund Fodor,M,HUN,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Gold
Rajmund Fodor,M,HUN,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Gold
Zoltn Fodor,M,HUN,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Curt Heinz Foerstendorf,M,GER,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey,Bronze
Paul Jeffrey Foerster,M,USA,1992,Summer,Barcelona,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Paul Jeffrey Foerster,M,USA,2000,Summer,Sydney,Sailing,Sailing Men's Two Person Dinghy,Silver
Paul Jeffrey Foerster,M,USA,2004,Summer,Athina,Sailing,Sailing Men's Two Person Dinghy,Gold
"Hlia ""Fofo"" Rogrio de Souza Pinto",F,BRA,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
"Hlia ""Fofo"" Rogrio de Souza Pinto",F,BRA,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Bronze
"Hlia ""Fofo"" Rogrio de Souza Pinto",F,BRA,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Lyndsie Fogarty,F,AUS,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Hans Marius Fogh,M,DEN,1960,Summer,Roma,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
Hans Marius Fogh,M,CAN,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Bronze
"Christopher ""Chris"" Fogt",M,USA,2014,Winter,Sochi,Bobsleigh,Bobsleigh Men's Four,Bronze
Marian Foik,M,POL,1964,Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Laurent Foirest,M,FRA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Silver
Sergey Rostislavovich Fokichev,M,URS,1984,Winter,Sarajevo,Speed Skating,Speed Skating Men's 500 metres,Gold
Anton Viktorovich Fokin,M,UZB,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Sergey Aleksandrovich Fokin,M,URS,1988,Summer,Seoul,Football,Football Men's Football,Gold
Annemieke Fokke (-Wilbrenninck),F,NED,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Bronze
Carl Wilhelm Folcker,M,SWE,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Jean (Jnos) Fldeak,M,GER,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Dezs Fldes,M,HUN,1908,Summer,London,Fencing,"Fencing Men's Sabre, Team",Gold
Dezs Fldes,M,HUN,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",Gold
va Fldes,F,HUN,1948,Summer,London,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Bronze
dn Fldessy,M,HUN,1952,Summer,Helsinki,Athletics,Athletics Men's Long Jump,Bronze
Imre Fldi,M,HUN,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Bantamweight,Silver
Imre Fldi,M,HUN,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Bantamweight,Silver
Imre Fldi,M,HUN,1972,Summer,Munich,Weightlifting,Weightlifting Men's Bantamweight,Gold
Hugh Miller Foley,M,USA,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold
Alexandru Flker,M,ROU,1976,Summer,Montreal,Handball,Handball Men's Handball,Silver
Alexandru Flker,M,ROU,1980,Summer,Moskva,Handball,Handball Men's Handball,Bronze
Alexandru Flker,M,ROU,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Bronze
Selina Follas,F,AUS,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
Arianna Fernanda Follis,F,ITA,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Casper Michael von Folsach,M,DEN,2016,Summer,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Lszl Foltn,M,HUN,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
Vlasta Foltov (-Hamplov),F,TCH,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Silver
Mykhailo Ivanovych Fomenko,M,URS,1976,Summer,Montreal,Football,Football Men's Football,Bronze
Andrea Fondelli,M,ITA,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
Alfredo Foni,M,ITA,1936,Summer,Berlin,Football,Football Men's Football,Gold
Eric V. Fonoimoana,M,USA,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
LeLei Alofa Fonoimoana (-Moore),F,USA,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Ramn Fonst Segundo,M,CUB,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",Gold
Ramn Fonst Segundo,M,CUB,1900,Summer,Paris,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",Silver
Ramn Fonst Segundo,M,CUB,1904,Summer,St. Louis,Fencing,"Fencing Men's Foil, Individual",Gold
Ramn Fonst Segundo,M,CUB,1904,Summer,St. Louis,Fencing,"Fencing Men's Foil, Team",Gold
Ramn Fonst Segundo,M,CUB,1904,Summer,St. Louis,Fencing,"Fencing Men's epee, Individual",Gold
Arianna Fontana,F,ITA,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
Arianna Fontana,F,ITA,2010,Winter,Vancouver,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
Arianna Fontana,F,ITA,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Silver
Arianna Fontana,F,ITA,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Bronze
Arianna Fontana,F,ITA,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
Ivano Fontana,M,ITA,1948,Summer,London,Boxing,Boxing Men's Middleweight,Bronze
Marco Aurelio Fontana,M,ITA,2012,Summer,London,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
Emilio Fontanella,M,ITA,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 kilometres),Gold
Emilio Fontanella,M,ITA,1906,Summer,Athina,Rowing,Rowing Men's Coxed Pairs (1 mile),Gold
Emilio Fontanella,M,ITA,1906,Summer,Athina,Rowing,Rowing Men's Coxed Fours,Gold
Karen Denise Fonteyne,F,CAN,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
Nouchka Fontijn,F,NED,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Middleweight,Silver
Adam David Vernon Foote,M,CAN,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Frank Forberger,M,GDR,1968,Summer,Mexico City,Rowing,Rowing Men's Coxless Fours,Gold
Frank Forberger,M,GDR,1972,Summer,Munich,Rowing,Rowing Men's Coxless Fours,Gold
David John Oliver Forbes,M,AUS,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
"James Ricardo ""Jim"" Forbes",M,USA,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Silver
John Robert Forbes,M,AUS,1992,Summer,Barcelona,Sailing,Sailing Mixed Multihull,Bronze
John Robert Forbes,M,AUS,2000,Summer,Sydney,Sailing,Sailing Mixed Multihull,Silver
Shashalee Forbes,F,JAM,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Enrico Forcella Pelliccioni,M,VEN,1960,Summer,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
Rosalba Forciniti,F,ITA,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Bronze
Alan Robert Ford,M,USA,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Silver
Atina Ford (Johnston-),F,CAN,1998,Winter,Nagano,Curling,Curling Women's Curling,Gold
Bruce Singleton Ford,M,CAN,1984,Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Bronze
"Gilbert ""Gib"" Ford",M,USA,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold
Michelle Jan Ford (-Eriksson),F,AUS,1980,Summer,Moskva,Swimming,Swimming Women's 800 metres Freestyle,Gold
Michelle Jan Ford (-Eriksson),F,AUS,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Butterfly,Bronze
"Philip Jackson ""Phil"" Ford, Jr.",M,USA,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,Gold
Russell Ford,M,AUS,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Annemarie Forder,F,AUS,2000,Summer,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze
George Edward Foreman,M,USA,1968,Summer,Mexico City,Boxing,Boxing Men's Heavyweight,Gold
Jacques Ernest Forestier,M,FRA,1920,Summer,Antwerpen,Rugby,Rugby Men's Rugby,Silver
Michael Joseph Forgeron,M,CAN,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
Wilfrid Forgues,M,FRA,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Wilfrid Forgues,M,FRA,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
"Robert ""Bob"" Forhan",M,CAN,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Karen Forkel,F,GER,1992,Summer,Barcelona,Athletics,Athletics Women's Javelin Throw,Bronze
Martin Formanack,M,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Silver
Ernesto Formenti,M,ITA,1948,Summer,London,Boxing,Boxing Men's Featherweight,Gold
"Miraildes ""Formiga"" Maciel Mota",F,BRA,2004,Summer,Athina,Football,Football Women's Football,Silver
"Miraildes ""Formiga"" Maciel Mota",F,BRA,2008,Summer,Beijing,Football,Football Women's Football,Silver
Ivar Formo,M,NOR,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Bronze
Ivar Formo,M,NOR,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Ivar Formo,M,NOR,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Ivar Formo,M,NOR,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Angelo Fornaciari,M,ITA,1906,Summer,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Gold
Alan Michael Forney,M,USA,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxless Fours,Silver
Giacomo Fornoni,M,ITA,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
"William Ronald ""Bill"" Forrester, Jr.",M,USA,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,Bronze
Peter Mattias Forsberg,M,SWE,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Peter Mattias Forsberg,M,SWE,2006,Winter,Torino,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
"Joseph ""Joe"" Forshaw, Jr.",M,USA,1908,Summer,London,Athletics,Athletics Men's Marathon,Bronze
Carl Otto Forssell,M,SWE,1948,Summer,London,Fencing,"Fencing Men's epee, Team",Bronze
Carl Otto Forssell,M,SWE,1952,Summer,Helsinki,Fencing,"Fencing Men's epee, Team",Silver
Sven Otto Forssman,M,SWE,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Eino Vilho Forsstrm,M,FIN,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Eino Vilho Forsstrm,M,FIN,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Robert Frstemann,M,GER,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Bronze
Kerstin Frster (Pieloth-),F,GDR,1988,Summer,Seoul,Rowing,Rowing Women's Quadruple Sculls,Gold
Olaf Frster,M,GDR,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Fours,Gold
Sarah Forster,F,SUI,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Karsten Forsterling,M,AUS,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Bronze
Karsten Forsterling,M,AUS,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Quadruple Sculls,Silver
Charles Eric Forsyth,M,GBR,1908,Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
"Timothy Charles ""Tim"" Forsyth",M,AUS,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,Bronze
Jaume Fort Mauri,M,ESP,1996,Summer,Atlanta,Handball,Handball Men's Handball,Bronze
"Joseph Cephis ""Joe"" Fortenberry",M,USA,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,Gold
"Gerardus ""G"" Fortgens",M,NED,1912,Summer,Stockholm,Football,Football Men's Football,Bronze
Laura Michele Fortino,F,CAN,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Wojciech Fortuna,M,POL,1972,Winter,Sapporo,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
Scott Thomas Fortune,M,USA,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,Gold
Scott Thomas Fortune,M,USA,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Bronze
"Frederick Joseph ""Fred"" Fortune, Jr.",M,USA,1948,Winter,Sankt Moritz,Bobsleigh,Bobsleigh Men's Two,Bronze
"Richard Douglas ""Dick"" Fosbury",M,USA,1968,Summer,Mexico City,Athletics,Athletics Men's High Jump,Gold
Frank Kent Foss,M,USA,1920,Summer,Antwerpen,Athletics,Athletics Men's Pole Vault,Gold
Brendan Foster,M,GBR,1976,Summer,Montreal,Athletics,"Athletics Men's 10,000 metres",Bronze
Patricia Diane Foster,F,CAN,1948,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
"Glen Seward Foster, II",M,USA,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Bronze
"Gregory ""Greg"" Foster",M,USA,1984,Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Silver
"James ""Jimmy"" Foster",M,GBR,1936,Winter,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Margot Elizabeth Foster,F,AUS,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze
Peter Foster,M,AUS,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
"Timothy James Carrington ""Tim"" Foster",M,GBR,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Bronze
"Timothy James Carrington ""Tim"" Foster",M,GBR,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Gold
"William ""Willie"" Foster",M,GBR,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"William ""Willie"" Foster",M,GBR,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Robert James Foth,M,USA,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
Samu Fti (Fleck-),M,HUN,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Silver
Nikolaos Fotinakis,M,GRE,1906,Summer,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Bronze
Ladislav Fouek,M,TCH,1956,Summer,Melbourne,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Ladislav Fouek,M,TCH,1956,Summer,Melbourne,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
Jean Fouconnier,M,FRA,1906,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
Jean Fouconnier,M,FRA,1906,Summer,Athina,Shooting,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Gold
Jean Fouconnier,M,FRA,1906,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze
Sbastien Edmond Foucras,M,FRA,1998,Winter,Nagano,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver
Julie Maurine Foudy,F,USA,1996,Summer,Atlanta,Football,Football Women's Football,Gold
Julie Maurine Foudy,F,USA,2000,Summer,Sydney,Football,Football Women's Football,Silver
Julie Maurine Foudy,F,USA,2004,Summer,Athina,Football,Football Women's Football,Gold
"Benjamin John ""Ben"" Fouhy",M,NZL,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
"June Florence Foulds-Paul (-Carroll, -Reynolds)",F,GBR,1952,Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
"June Florence Foulds-Paul (-Carroll, -Reynolds)",F,GBR,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Charles Howard Foulkes,M,GBR,1908,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Emmanuel Foulon,M,BEL,1900,Summer,Paris,Archery,Archery Men's Sur La Perche a La Herse,Gold
Hyleas Christine Fountain,F,USA,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Silver
Paul Four,M,FRA,1984,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Marceau Roger Fourcade,M,FRA,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Bronze
Martin Fourcade,M,FRA,2010,Winter,Vancouver,Biathlon,Biathlon Men's 15 kilometres Mass Start,Silver
Martin Fourcade,M,FRA,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,Gold
Martin Fourcade,M,FRA,2014,Winter,Sochi,Biathlon,Biathlon Men's 15 kilometres Mass Start,Silver
Martin Fourcade,M,FRA,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,Gold
Amde Fournier,M,FRA,1932,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Mortimer Henri Robert Fournier-Sarlovze,M,FRA,1900,Summer,Paris,Polo,Polo Men's Polo,Bronze
Nina Fout,F,USA,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
"Robert Gerald ""Bobby"" Fowler",M,RSA,1952,Summer,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Bryan John Fowler,M,GBR,1936,Summer,Berlin,Polo,Polo Men's Polo,Silver
"Calvin Bernard ""Cal"" Fowler",M,USA,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Gold
William Dexter Fowler,M,USA,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
Harold Gordon Fowler,M,GBR,1924,Summer,Paris,Sailing,Sailing Mixed 8 metres,Silver
Sylvia Shaqueria Fowles,F,USA,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
Sylvia Shaqueria Fowles,F,USA,2012,Summer,London,Basketball,Basketball Women's Basketball,Gold
Sylvia Shaqueria Fowles,F,USA,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,Gold
Arthur George Fox,M,USA,1904,Summer,St. Louis,Fencing,"Fencing Men's Foil, Team",Silver
Catherine Mai-Lan Fox,F,USA,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Catherine Mai-Lan Fox,F,USA,1996,Summer,Atlanta,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
David Ashley Fox,M,USA,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Francine Anne Fox,F,USA,1964,Summer,Tokyo,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
"Jessica Esther ""Jess"" Fox",F,AUS,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
"Jessica Esther ""Jess"" Fox",F,AUS,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
"Jeremy Robert ""Jim"" Fox",M,GBR,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Joanne Kylie Fox,F,AUS,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
Ruby Ellen Fox,F,USA,1984,Summer,Los Angeles,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
William Speed Lane Fox-Pitt,M,GBR,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
William Speed Lane Fox-Pitt,M,GBR,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
William Speed Lane Fox-Pitt,M,GBR,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Jochen Fraatz,M,FRG,1984,Summer,Los Angeles,Handball,Handball Men's Handball,Silver
Marit Malm Frafjord,F,NOR,2008,Summer,Beijing,Handball,Handball Women's Handball,Gold
Marit Malm Frafjord,F,NOR,2012,Summer,London,Handball,Handball Women's Handball,Gold
Marit Malm Frafjord,F,NOR,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
Javier Alberto Frana Maggi,M,ARG,1992,Summer,Barcelona,Tennis,Tennis Men's Doubles,Bronze
Nicola Franceschina,M,ITA,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
Igor Franceti,M,CRO,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Bronze
Mirka Francia Vasconcelos,F,CUB,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
"Zsuzsanna ""Susan"" Francia",F,USA,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Gold
"Zsuzsanna ""Susan"" Francia",F,USA,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Gold
Francielle Manoel Alberto,F,BRA,2008,Summer,Beijing,Football,Football Women's Football,Silver
Javon Francis,M,JAM,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Phyllis Chanez Francis,F,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Ranganathan Francis,M,IND,1948,Summer,London,Hockey,Hockey Men's Hockey,Gold
Ranganathan Francis,M,IND,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Gold
Ranganathan Francis,M,IND,1956,Summer,Melbourne,Hockey,Hockey Men's Hockey,Gold
Allan Gunthard Franck,M,FIN,1912,Summer,Stockholm,Sailing,Sailing Mixed 10 metres,Silver
Daniel Franck,M,NOR,1998,Winter,Nagano,Snowboarding,Snowboarding Men's Halfpipe,Silver
Louis Vincent Franois,M,FRA,1932,Summer,Los Angeles,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
Joseph Roger Franois,M,FRA,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Middleweight,Gold
Lars Gunnar Martin Frndesj,M,SWE,1996,Summer,Atlanta,Handball,Handball Men's Handball,Silver
Lars Gunnar Martin Frndesj,M,SWE,2000,Summer,Sydney,Handball,Handball Men's Handball,Silver
"Josefine ""Putzi"" Frandl (-Crotty)",F,AUT,1956,Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Silver
Aage Valdemar Harald Frandsen,M,DEN,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Rasmus Peter Frandsen,M,DEN,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Bronze
Scott Frandsen,M,CAN,2008,Summer,Beijing,Rowing,Rowing Men's Coxless Pairs,Silver
Jn Franek,M,TCH,1980,Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,Bronze
Michele Frangilli,M,ITA,1996,Summer,Atlanta,Archery,Archery Men's Team,Bronze
Michele Frangilli,M,ITA,2000,Summer,Sydney,Archery,Archery Men's Team,Silver
Michele Frangilli,M,ITA,2012,Summer,London,Archery,Archery Men's Team,Gold
Ioannis Frangoudis,M,GRE,1896,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Bronze
Ioannis Frangoudis,M,GRE,1896,Summer,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Gold
Ioannis Frangoudis,M,GRE,1896,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
