Name,Sex,NOC,Year,Season,City,Sport,Event,Medal
"George ""Ioannis"" Abbot",M,GRE,1906,Summer,Athina,Football,Football Men's Football,Bronze
"Desmond ""Des"" Abbott",M,AUS,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
Jeremy Abbott,M,USA,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
Margaret Ives Abbott (-Dunne),F,USA,1900,Summer,Paris,Golf,Golf Women's Individual,Gold
Monica Cecilia Abbott,F,USA,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,F,USA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,M,IRI,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Reema Abdo,F,CAN,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Lala Abdul Rashid,M,PAK,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Muhammad Abdul Rashid,M,PAK,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,M,URS,1972,Summer,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Mukhammad Kadyr Abdullayev,M,UZB,2000,Summer,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
Namiq Yadulla Abdullayev,M,AZE,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Namiq Yadulla Abdullayev,M,AZE,2000,Summer,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Julius Shareef Abdur-Rahim,M,USA,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Gold
Yusup Abdusalomov,M,TJK,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Andrey Khakimovich Abduvaliyev,M,EUN,1992,Summer,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
Masashi Abe,M,JPN,1994,Winter,Lillehammer,Nordic Combined,Nordic Combined Men's Team,Gold
Addis Abebe,M,ETH,1992,Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
"Max ""Xam"" Abegglen",M,SUI,1924,Summer,Paris,Football,Football Men's Football,Silver
Clarence John Abel,M,USA,1924,Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
George Gordon Abel,M,CAN,1952,Winter,Oslo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Irene Abel,F,GDR,1972,Summer,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
Jennifer Abel,F,CAN,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
Egil Sten Abel,M,NOR,1920,Summer,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
Abelardo Fernndez Antua,M,ESP,1992,Summer,Barcelona,Football,Football Men's Football,Gold
"Louis Grenville ""Lou"" Abell",M,USA,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold
"Louis Grenville ""Lou"" Abell",M,USA,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
Gezahgne Abera,M,ETH,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold
Nils Georg berg,M,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
Nils Georg berg,M,SWE,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
Michael Brent Abernathy,M,USA,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
Moira Abernethy (-Ford),F,RSA,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Elvan Abeylegesse,F,TUR,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
Ismail Abilov (-Nizamolu),M,BUL,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
"Edgar Allen ""Ed"" Ablowich",M,USA,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Denis Mikhaylovich Ablyazin,M,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,RUS,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,RUS,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
Viktor Andreyevich Aboimov,M,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Viktor Andreyevich Aboimov,M,URS,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Matthew ""Matt"" Abood",M,AUS,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,M,EGY,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
