ID,Name,NOC,Year,Season,Sport,Event,Medal
62,Giovanni Abagnale,ITA,2016,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
63,Jos Luis Abajo Gmez,ESP,2008,Summer,Fencing,"Fencing Men's epee, Individual",Bronze
65,Patimat Abakarova,AZE,2016,Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),RUS,2008,Summer,Athletics,Athletics Women's Javelin Throw,Silver
72,Aleksey Aleksandrovich Abalmasov,BLR,2008,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,Luc Abalo,FRA,2008,Summer,Handball,Handball Men's Handball,Gold
73,Luc Abalo,FRA,2012,Summer,Handball,Handball Men's Handball,Gold
73,Luc Abalo,FRA,2016,Summer,Handball,Handball Men's Handball,Silver
76,Jouan Patrice Abanda Etong,CMR,2000,Summer,Football,Football Men's Football,Gold
80,Jos Mara Abarca Plotas,ESP,1996,Summer,Water Polo,Water Polo Men's Water Polo,Gold
84,Stephen Anthony Abas,USA,2004,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
85,Alejandro Abascal Garca,ESP,1980,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
86,Jos Manuel Abascal Gmez,ESP,1984,Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
90,Tamila Rashidovna Abasova,RUS,2004,Summer,Cycling,Cycling Women's Sprint,Silver
93,Jol Marc Abati,FRA,2008,Summer,Handball,Handball Men's Handball,Gold
99,Pter Abay,HUN,1992,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
100,Oszkr Abay-Nemes,HUN,1936,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
103,Silvano Abba,ITA,1936,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
106,Agostino Abbagnale,ITA,1988,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
106,Agostino Abbagnale,ITA,1996,Summer,Rowing,Rowing Men's Double Sculls,Gold
106,Agostino Abbagnale,ITA,2000,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,ITA,1984,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,ITA,1988,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,ITA,1992,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
108,Giuseppe Abbagnale,ITA,1984,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,ITA,1988,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,ITA,1992,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
139,"George ""Ioannis"" Abbot",GRE,1906,Summer,Football,Football Men's Football,Bronze
143,"Desmond ""Des"" Abbott",AUS,2008,Summer,Hockey,Hockey Men's Hockey,Bronze
145,Jeremy Abbott,USA,2014,Winter,Figure Skating,Figure Skating Mixed Team,Bronze
150,Margaret Ives Abbott (-Dunne),USA,1900,Summer,Golf,Golf Women's Individual,Gold
153,Monica Cecilia Abbott,USA,2008,Summer,Softball,Softball Women's Softball,Silver
165,Nia Nicole Abdallah,USA,2004,Summer,Taekwondo,Taekwondo Women's Featherweight,Silver
250,Saeid Morad Abdevali,IRI,2016,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
259,Reema Abdo,CAN,1984,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
297,Lala Abdul Rashid,PAK,1960,Summer,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,PAK,1964,Summer,Hockey,Hockey Men's Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,URS,1972,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,UZB,2000,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,AZE,1996,Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,AZE,2000,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
351,Julius Shareef Abdur-Rahim,USA,2000,Summer,Basketball,Basketball Men's Basketball,Gold
357,Yusup Abdusalomov,TJK,2008,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
359,Andrey Khakimovich Abduvaliyev,EUN,1992,Summer,Athletics,Athletics Men's Hammer Throw,Gold
367,Masashi Abe,JPN,1994,Winter,Nordic Combined,Nordic Combined Men's Team,Gold
379,Addis Abebe,ETH,1992,Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
385,"Max ""Xam"" Abegglen",SUI,1924,Summer,Football,Football Men's Football,Silver
391,Clarence John Abel,USA,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
392,George Gordon Abel,CAN,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
394,Irene Abel,GDR,1972,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
395,Jennifer Abel,CAN,2012,Summer,Diving,Diving Women's Synchronized Springboard,Bronze
399,Egil Sten Abel,NOR,1920,Summer,Sailing,Sailing Mixed 7 metres,Silver
401,Abelardo Fernndez Antua,ESP,1992,Summer,Football,Football Men's Football,Gold
404,"Louis Grenville ""Lou"" Abell",USA,1900,Summer,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",USA,1904,Summer,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,ETH,2000,Summer,Athletics,Athletics Men's Marathon,Gold
