ID,Name,NOC,Year,Season,Sport,Event,Medal
17755,Veronica Angella Campbell-Brown,JAM,2012,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
17755,Veronica Angella Campbell-Brown,JAM,2016,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
17759,Erich Campe,GER,1932,Summer,Boxing,Boxing Men's Welterweight,Silver
17764,Ral Campero Nez,MEX,1948,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
17774,Alisa Peta Camplin (-Warner),AUS,2002,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
17774,Alisa Peta Camplin (-Warner),AUS,2006,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Bronze
17778,Antonio Cmpolo,URU,1928,Summer,Football,Football Men's Football,Gold
17815,Niccol Campriani,ITA,2012,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver
17815,Niccol Campriani,ITA,2012,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
17815,Niccol Campriani,ITA,2016,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
17815,Niccol Campriani,ITA,2016,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
17835,Eyp Can,TUR,1984,Summer,Boxing,Boxing Men's Flyweight,Bronze
17852,Adhemar Canavessi,URU,1928,Summer,Football,Football Men's Football,Gold
17857,Fabian Cancellara,SUI,2008,Summer,Cycling,"Cycling Men's Road Race, Individual",Silver
17857,Fabian Cancellara,SUI,2008,Summer,Cycling,Cycling Men's Individual Time Trial,Gold
17857,Fabian Cancellara,SUI,2016,Summer,Cycling,Cycling Men's Individual Time Trial,Gold
17872,Philippe Christophe Luciene Candeloro,FRA,1994,Winter,Figure Skating,Figure Skating Men's Singles,Bronze
17872,Philippe Christophe Luciene Candeloro,FRA,1998,Winter,Figure Skating,Figure Skating Men's Singles,Bronze
17873,Adil Candemir,TUR,1948,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
17874,douard Candeveau,SUI,1920,Summer,Rowing,Rowing Men's Coxed Pairs,Bronze
17874,douard Candeveau,SUI,1924,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
17885,Hans Candrian,SUI,1968,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
17893,Fernand mile Canelle,FRA,1900,Summer,Football,Football Men's Football,Silver
17899,Henry Albert Canet,FRA,1912,Summer,Tennis,Tennis Mixed Doubles,Bronze
17899,Henry Albert Canet,FRA,1912,Summer,Tennis,Tennis Men's Doubles,Bronze
17919,Pierre Henri Canivet,FRA,1924,Winter,Curling,Curling Men's Curling,Bronze
17920,Rafael Caizares Poey,CUB,1972,Summer,Basketball,Basketball Men's Basketball,Bronze
17927,Ferrol Cannard,FRA,2006,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
17931,George Walter Canning,GBR,1920,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
17948,Giovanni Canova,ITA,1920,Summer,Fencing,"Fencing Men's epee, Team",Gold
17948,Giovanni Canova,ITA,1924,Summer,Fencing,"Fencing Men's epee, Team",Bronze
17957,Luca Cantagalli,ITA,1996,Summer,Volleyball,Volleyball Men's Volleyball,Silver
17966,Fernand Canteloube,FRA,1920,Summer,Cycling,"Cycling Men's Road Race, Individual",Bronze
17966,Fernand Canteloube,FRA,1920,Summer,Cycling,"Cycling Men's Road Race, Team",Gold
17975,James Cantion,GBR,1900,Summer,Rugby,Rugby Men's Rugby,Silver
17976,Ernesto Canto Gudio,MEX,1984,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
17977,Flvio Vianna de Ulha Canto,BRA,2004,Summer,Judo,Judo Men's Half-Middleweight,Bronze
17980,"Luigi ""Gino"" Cantone",ITA,1948,Summer,Fencing,"Fencing Men's epee, Individual",Gold
17980,"Luigi ""Gino"" Cantone",ITA,1948,Summer,Fencing,"Fencing Men's epee, Team",Silver
17985,Christian Cantwell,USA,2008,Summer,Athletics,Athletics Men's Shot Put,Silver
17995,Cao Lei,CHN,2008,Summer,Weightlifting,Weightlifting Women's Heavyweight,Gold
17996,Cao Mianying,CHN,1996,Summer,Rowing,Rowing Women's Double Sculls,Silver
18005,Cao Yuan,CHN,2012,Summer,Diving,Diving Men's Synchronized Platform,Gold
18005,Cao Yuan,CHN,2016,Summer,Diving,Diving Men's Springboard,Gold
18005,Cao Yuan,CHN,2016,Summer,Diving,Diving Men's Synchronized Springboard,Bronze
18007,Cao Zhongrong,CHN,2012,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
18010,Reto Capadrutt,SUI,1932,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
18010,Reto Capadrutt,SUI,1936,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
18011,Libor Capalini,CZE,2004,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
18014,Joan Capdevila Mndez,ESP,2000,Summer,Football,Football Men's Football,Silver
18018,Frantiek apek,TCH,1948,Summer,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Gold
18022,Christophe Capelle,FRA,1996,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
18029,Nadine Capellmann (-Biffar-),GER,2000,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
18029,Nadine Capellmann (-Biffar-),GER,2008,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
18033,Lee Capes (-Nobbs),AUS,1988,Summer,Hockey,Hockey Women's Hockey,Gold
18034,Michelle Edith Capes-Hager,AUS,1988,Summer,Hockey,Hockey Women's Hockey,Gold
18040,Joaqun Capilla Prez,MEX,1948,Summer,Diving,Diving Men's Platform,Bronze
18040,Joaqun Capilla Prez,MEX,1952,Summer,Diving,Diving Men's Platform,Silver
18040,Joaqun Capilla Prez,MEX,1956,Summer,Diving,Diving Men's Springboard,Bronze
18040,Joaqun Capilla Prez,MEX,1956,Summer,Diving,Diving Men's Platform,Gold
18052,Vlado aplji,YUG,1984,Summer,Football,Football Men's Football,Bronze
18063,Tranquilo Capozzo Zironda,ARG,1952,Summer,Rowing,Rowing Men's Double Sculls,Gold
18071,Federico Cappellazzo,ITA,2004,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
18072,Giulio Cappelli,ITA,1936,Summer,Football,Football Men's Football,Gold
18078,Sergio Caprari,ITA,1952,Summer,Boxing,Boxing Men's Featherweight,Silver
18080,Jennifer Marie Capriati,USA,1992,Summer,Tennis,Tennis Women's Singles,Gold
18083,Corina Oana Cprioriu,ROU,2012,Summer,Judo,Judo Women's Lightweight,Silver
18094,Marta Capurso,ITA,2006,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
18095,Petre Capusta,ROU,1980,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
18099,Oreste Capuzzo,ITA,1932,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
18107,Bruno Carabetta,FRA,1988,Summer,Judo,Judo Men's Half-Lightweight,Bronze
18118,Benot Pierre Caranobe,FRA,2008,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
18130,Michael Carbajal,USA,1988,Summer,Boxing,Boxing Men's Light-Flyweight,Silver
18142,Sally May Carbon (-Bell),AUS,1988,Summer,Hockey,Hockey Women's Hockey,Gold
18144,Lorenzo Carboncini,ITA,2000,Summer,Rowing,Rowing Men's Coxless Fours,Silver
18150,Ona Carbonell Ballestero,ESP,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
18150,Ona Carbonell Ballestero,ESP,2012,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
18178,"Patricia ""Patty"" Cardenas",USA,2008,Summer,Water Polo,Water Polo Women's Water Polo,Silver
18188,James Farquhar Cardno,GBR,1936,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
18204,Rogrio Sampaio Cardoso,BRA,1992,Summer,Judo,Judo Men's Half-Lightweight,Gold
18206,Jos Saturnino Cardozo Otaz,PAR,2004,Summer,Football,Football Men's Football,Silver
18212,"Hamilton ""Careca"" de Souza",BRA,1988,Summer,Football,Football Men's Football,Silver
18216,Jacques Carette,FRA,1972,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
18222,Mary Louise Carew (-Armstrong),USA,1932,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
18226,Ashley Carey,AUS,1992,Summer,Hockey,Hockey Men's Hockey,Silver
18228,Kenneth Anton Carey,USA,1932,Summer,Sailing,Sailing Mixed 8 metres,Gold
18232,"Richard John ""Rick"" Carey",USA,1984,Summer,Swimming,Swimming Men's 100 metres Backstroke,Gold
18232,"Richard John ""Rick"" Carey",USA,1984,Summer,Swimming,Swimming Men's 200 metres Backstroke,Gold
18232,"Richard John ""Rick"" Carey",USA,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
18242,George Aristides Caridia (Karidias-),GBR,1908,Summer,Tennis,"Tennis Men's Singles, Covered Courts",Silver
18242,George Aristides Caridia (Karidias-),GBR,1908,Summer,Tennis,"Tennis Men's Doubles, Covered Courts",Silver
18248,Jacques Cariou,FRA,1912,Summer,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
18248,Jacques Cariou,FRA,1912,Summer,Equestrianism,"Equestrianism Men's Jumping, Team",Silver
18248,Jacques Cariou,FRA,1912,Summer,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Bronze
18253,"Antnio Carlos ""Carlo"" Aguilar Gouveia",BRA,1992,Summer,Volleyball,Volleyball Men's Volleyball,Gold
18254,Carl Ehrenfried Carlberg,SWE,1912,Summer,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
18255,Gustaf Eric Carlberg,SWE,1908,Summer,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Silver
18255,Gustaf Eric Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
18255,Gustaf Eric Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Gold
18255,Gustaf Eric Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Silver
18255,Gustaf Eric Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Gold
18257,Gustaf Vilhelm Carlberg,SWE,1906,Summer,Shooting,"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Bronze
18257,Gustaf Vilhelm Carlberg,SWE,1908,Summer,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Silver
18257,Gustaf Vilhelm Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres, Team",Silver
18257,Gustaf Vilhelm Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team",Gold
18257,Gustaf Vilhelm Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Silver
18257,Gustaf Vilhelm Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Gold
18257,Gustaf Vilhelm Carlberg,SWE,1912,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Gold
18257,Gustaf Vilhelm Carlberg,SWE,1924,Summer,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
18258,Gustaf Fredrik Carln,SWE,1912,Summer,Athletics,"Athletics Men's Cross-Country, Team",Gold
18259,Per Arne Owe Carln,SWE,1992,Summer,Handball,Handball Men's Handball,Silver
18259,Per Arne Owe Carln,SWE,1996,Summer,Handball,Handball Men's Handball,Silver
18262,Laura Gabriela Crlescu-Badea,ROU,1992,Summer,Fencing,"Fencing Women's Foil, Team",Bronze
18262,Laura Gabriela Crlescu-Badea,ROU,1996,Summer,Fencing,"Fencing Women's Foil, Individual",Gold
18262,Laura Gabriela Crlescu-Badea,ROU,1996,Summer,Fencing,"Fencing Women's Foil, Team",Silver
18263,Per Hjalmar Ludvig Carleson,SWE,1948,Summer,Fencing,"Fencing Men's epee, Team",Bronze
18263,Per Hjalmar Ludvig Carleson,SWE,1952,Summer,Fencing,"Fencing Men's epee, Team",Silver
18264,Gillian Carleton,CAN,2012,Summer,Cycling,Cycling Women's Team Pursuit,Bronze
18266,"Jesse Landis ""Lee"" Carleton",USA,1904,Summer,Golf,Golf Men's Team,Bronze
18270,Arnaldo Carli,ITA,1920,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
18278,"Jazmin Roxy ""Jazz"" Carlin",GBR,2016,Summer,Swimming,Swimming Women's 400 metres Freestyle,Silver
18278,"Jazmin Roxy ""Jazz"" Carlin",GBR,2016,Summer,Swimming,Swimming Women's 800 metres Freestyle,Silver
18282,"Daniel Thomas ""Dan"" Carlisle",USA,1984,Summer,Shooting,Shooting Mixed Trap,Bronze
18290,John Wesley Carlos,USA,1968,Summer,Athletics,Athletics Men's 200 metres,Bronze
18295,Agnete Synnve Carlsen,NOR,1996,Summer,Football,Football Women's Football,Bronze
18297,Carl Christian Peder Carlsen,DEN,1906,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
18309,"Robert Earl ""Bob"" Carlson",USA,1932,Summer,Sailing,Sailing Mixed 6 metres,Silver
18310,Gustaf Johannes Carlson,SWE,1924,Summer,Football,Football Men's Football,Bronze
18312,Conrad Marentius Carlsrud,NOR,1906,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
18312,Conrad Marentius Carlsrud,NOR,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
18315,Carl Allan Carlsson (-Ekebck),SWE,1932,Summer,Boxing,Boxing Men's Featherweight,Bronze
18327,"Gustaf Vilhelm ""Gsta"" Carlsson",SWE,1928,Summer,Cycling,"Cycling Men's Road Race, Individual",Bronze
18327,"Gustaf Vilhelm ""Gsta"" Carlsson",SWE,1928,Summer,Cycling,"Cycling Men's Road Race, Team",Bronze
18329,Nils Gustav Henry Carlsson,SWE,1948,Summer,Football,Football Men's Football,Gold
18335,Aron Lars-Gran Carlsson,SWE,1980,Summer,Shooting,Shooting Mixed Skeet,Silver
18347,Lily Marie Louise Carlstedt-Kelsby,DEN,1948,Summer,Athletics,Athletics Women's Javelin Throw,Bronze
18349,Guy Albert Carlton,USA,1984,Summer,Weightlifting,Weightlifting Men's Heavyweight II,Bronze
18352,"William H. ""Bill"" Carlucci",USA,1996,Summer,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
18364,"Daniel Edwin ""Ed"" Carmichael",USA,1932,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
18365,Malcolm James Carmichael,GBR,1980,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
18366,Nelson Graham Carmichael,USA,1992,Winter,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze
18367,"Phillip Patrick ""Phil"" Carmichael",ANZ,1908,Summer,Rugby,Rugby Men's Rugby,Gold
18369,Giovanni Carminucci,ITA,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
18369,Giovanni Carminucci,ITA,1960,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
18370,Pasquale Carminucci,ITA,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
18373,"Robert John ""Bob"" Carmody",USA,1964,Summer,Boxing,Boxing Men's Flyweight,Bronze
18374,Adriana Carmona Gutirrez,VEN,2004,Summer,Taekwondo,Taekwondo Women's Heavyweight,Bronze
18385,Wlter Carmona,BRA,1984,Summer,Judo,Judo Men's Middleweight,Bronze
18389,Olivia Frances Carnegie-Brown,GBR,2016,Summer,Rowing,Rowing Women's Coxed Eights,Silver
18393,Arthur Ashton Carnell,GBR,1908,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Gold
18404,"Lester Nelson ""Les"" Carney",USA,1960,Summer,Athletics,Athletics Men's 200 metres,Silver
18408,Denys John Carnill,GBR,1952,Summer,Hockey,Hockey Men's Hockey,Bronze
18410,Maurizio Carnino,ITA,1994,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
18410,Maurizio Carnino,ITA,2002,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
18420,"Carolina ""Carol"" Demartini de Albuquerque",BRA,2008,Summer,Volleyball,Volleyball Women's Volleyball,Gold
18427,"Christine ""Kiki"" Caron (-Garin)",FRA,1964,Summer,Swimming,Swimming Women's 100 metres Backstroke,Silver
18430,Stphan Malcolm Caron,FRA,1988,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
18430,Stphan Malcolm Caron,FRA,1992,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
18439,Stefano Carozzo,ITA,2008,Summer,Fencing,"Fencing Men's epee, Team",Bronze
18440,"Bernard ""Berend"" Carp",NED,1920,Summer,Sailing,Sailing Mixed 6.5 metres,Gold
18441,"Johan Robert ""Joop"" Carp",NED,1920,Summer,Sailing,Sailing Mixed 6.5 metres,Gold
18441,"Johan Robert ""Joop"" Carp",NED,1924,Summer,Sailing,Sailing Mixed 6 metres,Bronze
18443,Marissa Carpadios,AUS,2004,Summer,Softball,Softball Women's Softball,Silver
18444,Luigi Arturo Carpaneda,ITA,1956,Summer,Fencing,"Fencing Men's Foil, Team",Gold
18444,Luigi Arturo Carpaneda,ITA,1960,Summer,Fencing,"Fencing Men's Foil, Team",Silver
18446,"Alexandra ""Alex"" Carpenter",USA,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
18450,Gordon C. Carpenter,USA,1948,Summer,Basketball,Basketball Men's Basketball,Gold
18455,"William Kenneth ""Ken"" Carpenter",USA,1936,Summer,Athletics,Athletics Men's Discus Throw,Gold
18456,Kip Carpenter,USA,2002,Winter,Speed Skating,Speed Skating Men's 500 metres,Bronze
18457,Leonard Griswold Carpenter,USA,1924,Summer,Rowing,Rowing Men's Coxed Eights,Gold
18459,"Helen Constance ""Connie"" Carpenter-Phinney",USA,1984,Summer,Cycling,"Cycling Women's Road Race, Individual",Gold
18469,Arthur Carr,GBR,1948,Summer,Equestrianism,"Equestrianism Men's Jumping, Team",Bronze
18471,"William Arthur ""Bill"" Carr",USA,1932,Summer,Athletics,Athletics Men's 400 metres,Gold
18471,"William Arthur ""Bill"" Carr",USA,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
18472,"William John ""Bill"" Carr",USA,1900,Summer,Rowing,Rowing Men's Coxed Eights,Gold
18474,"Catherine L. ""Cathy"" Carr (-West)",USA,1972,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Gold
18474,"Catherine L. ""Cathy"" Carr (-West)",USA,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
18475,"Richard John ""Dickie"" Carr",IND,1932,Summer,Hockey,Hockey Men's Hockey,Gold
18478,Geoffrey Carr,GBR,1912,Summer,Rowing,"Rowing Men's Coxed Fours, Outriggers",Silver
18481,Henry William Carr,USA,1964,Summer,Athletics,Athletics Men's 200 metres,Gold
18481,Henry William Carr,USA,1964,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
18483,"Kenneth Alan ""Kenny"" Carr",USA,1976,Summer,Basketball,Basketball Men's Basketball,Gold
18484,"Nathaniel ""Nate"" Carr",USA,1988,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
18485,Sabin William Carr,USA,1928,Summer,Athletics,Athletics Men's Pole Vault,Gold
18492,Lorne Howland Carr-Harris,GBR,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
18500,Cecilia Carranza Saroli,ARG,2016,Summer,Sailing,Sailing Mixed Multihull,Gold
18506,Pieralberto Carrara,ITA,1998,Winter,Biathlon,Biathlon Men's 20 kilometres,Silver
18526,Michel Robert Carrega,FRA,1972,Summer,Shooting,Shooting Mixed Trap,Silver
18539,Ricardo Luis Carreras,USA,1972,Summer,Boxing,Boxing Men's Bantamweight,Bronze
18543,Alfredo Demetrio Carricaberry,ARG,1928,Summer,Football,Football Men's Football,Silver
18550,Sara Maree Carrigan,AUS,2004,Summer,Cycling,"Cycling Women's Road Race, Individual",Gold
18556,Gilberto Carrillo Quesada,CUB,1972,Summer,Boxing,Boxing Men's Light-Heavyweight,Silver
18561,Nancy Carrillo de la Paz,CUB,2004,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
18563,Lisa Carrington,NZL,2012,Summer,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
18563,Lisa Carrington,NZL,2016,Summer,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Gold
18563,Lisa Carrington,NZL,2016,Summer,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
18577,"Daniel Brendon ""Dan"" Carroll",ANZ,1908,Summer,Rugby,Rugby Men's Rugby,Gold
18577,"Daniel Brendon ""Dan"" Carroll",USA,1920,Summer,Rugby,Rugby Men's Rugby,Gold
18581,Joel Carroll,AUS,2012,Summer,Hockey,Hockey Men's Hockey,Bronze
18582,Julian Paul Carroll,AUS,1960,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
18595,"Schuyler Anthony ""Sky"" Carron",USA,1948,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
18598,Michael Carruth,IRL,1992,Summer,Boxing,Boxing Men's Welterweight,Gold
18599,Colin Gordon Carruthers,GBR,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
18600,Eric Dudley Carruthers,GBR,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
18602,"Caitlin A. ""Kitty"" Carruthers (-Conrad)",USA,1984,Winter,Figure Skating,Figure Skating Mixed Pairs,Silver
18604,Peter W. Carruthers,USA,1984,Winter,Figure Skating,Figure Skating Mixed Pairs,Silver
18605,Stuart Cameron Carruthers,AUS,1996,Summer,Hockey,Hockey Men's Hockey,Bronze
18609,Gladys Helena Carson (-Hewitt),GBR,1924,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
18614,"David Krynauw Enslin ""Dave"" Carstens",RSA,1932,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
18617,Wilhelm Emil Carstens,GER,1900,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
18619,Fritze Wulff Carstensen (Nathansen-),DEN,1948,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
18625,Fabio Carta,ITA,2002,Winter,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Silver
18641,Hamish Clive Carter,NZL,2004,Summer,Triathlon,Triathlon Men's Olympic Distance,Gold
18644,"Jeffrey J. ""Jeff"" Carter",CAN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
18647,Keith Eyre Carter,USA,1948,Summer,Swimming,Swimming Men's 200 metres Breaststroke,Silver
18653,Michelle Denee Carter,USA,2016,Summer,Athletics,Athletics Women's Shot Put,Gold
18655,"Michael D'Andrea ""Mike"" Carter",USA,1984,Summer,Athletics,Athletics Men's Shot Put,Silver
18656,Nesta Carter,JAM,2012,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
18662,"Vincent Lamar ""Vince"" Carter",USA,2000,Summer,Basketball,Basketball Men's Basketball,Gold
18665,"Nathaniel John ""Nate"" Cartmell",USA,1904,Summer,Athletics,Athletics Men's 100 metres,Silver
18665,"Nathaniel John ""Nate"" Cartmell",USA,1904,Summer,Athletics,Athletics Men's 200 metres,Silver
18665,"Nathaniel John ""Nate"" Cartmell",USA,1908,Summer,Athletics,Athletics Men's 200 metres,Bronze
18665,"Nathaniel John ""Nate"" Cartmell",USA,1908,Summer,Athletics,"Athletics Men's 1,600 metres Medley Relay",Gold
18674,"Consetta Anne ""Connie"" Caruccio-Lenz",USA,1948,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
18678,Oliver Caruso,GER,1996,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
18683,"Edward Julius ""Ed"" Caruthers, Jr.",USA,1968,Summer,Athletics,Athletics Men's High Jump,Silver
18686,Magalys Esther Carvajal Rivera,CUB,1992,Summer,Volleyball,Volleyball Women's Volleyball,Gold
18686,Magalys Esther Carvajal Rivera,CUB,1996,Summer,Volleyball,Volleyball Women's Volleyball,Gold
18707,Oswald Armitrage Guy Carver,GBR,1908,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
18708,Claire Rhiannon Carver-Dias,CAN,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
18709,Chad Robb Carvin,USA,2000,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
18722,Anna Casagrande,ITA,1980,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
18726,Sergio Casal Martnez,ESP,1988,Summer,Tennis,Tennis Men's Doubles,Silver
18738,Jol Casamayor Johnson,CUB,1992,Summer,Boxing,Boxing Men's Bantamweight,Gold
18740,Alejandro Francisco Casaas Ramrez,CUB,1976,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
18740,Alejandro Francisco Casaas Ramrez,CUB,1980,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
18744,Auguste Georges Casanova,FRA,1920,Summer,Fencing,"Fencing Men's epee, Team",Bronze
18752,Oscar Casanovas,ARG,1936,Summer,Boxing,Boxing Men's Featherweight,Gold
18754,Tudor Casapu,EUN,1992,Summer,Weightlifting,Weightlifting Men's Middleweight,Gold
18757,Caroline Casaretto,GER,2004,Summer,Hockey,Hockey Women's Hockey,Gold
18760,Fabio Casartelli,ITA,1992,Summer,Cycling,"Cycling Men's Road Race, Individual",Gold
18785,Demetrius Emmanuel Casdagli,GRE,1896,Summer,Tennis,Tennis Men's Singles,Silver
18785,Demetrius Emmanuel Casdagli,GRE,1896,Summer,Tennis,Tennis Men's Doubles,Silver
18786,Xenophon Emmanuel Casdagli,GRE,1906,Summer,Tennis,Tennis Mixed Doubles,Bronze
18786,Xenophon Emmanuel Casdagli,GRE,1906,Summer,Tennis,Tennis Men's Doubles,Silver
18794,Raffaello Caserta,ITA,1996,Summer,Fencing,"Fencing Men's Sabre, Team",Bronze
18804,Kellogg Kennon Venable Casey,USA,1908,Summer,Shooting,"Shooting Men's Free Rifle, 1,000 Yards",Silver
18804,Kellogg Kennon Venable Casey,USA,1908,Summer,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
18805,"Levi Burnside ""Lee"" Casey",USA,1928,Summer,Athletics,Athletics Men's Triple Jump,Silver
18811,"Swintayla Marie ""Swin"" Cash",USA,2004,Summer,Basketball,Basketball Women's Basketball,Gold
18811,"Swintayla Marie ""Swin"" Cash",USA,2012,Summer,Basketball,Basketball Women's Basketball,Gold
18813,Karen Cashman (-Lehmann),USA,1994,Winter,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
18826,Vra slavsk (-Odloilov),TCH,1960,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
18826,Vra slavsk (-Odloilov),TCH,1964,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Gold
18826,Vra slavsk (-Odloilov),TCH,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
18826,Vra slavsk (-Odloilov),TCH,1964,Summer,Gymnastics,Gymnastics Women's Horse Vault,Gold
18826,Vra slavsk (-Odloilov),TCH,1964,Summer,Gymnastics,Gymnastics Women's Balance Beam,Gold
